company,batch,status,team_size,company_id,job_title,role,job_type,job_locations,job_posted,company_one_liner,company_website,yc_profile,company_locations,industries,observed_at
AtlasGrid,Fall 2025,Active,6,30882,Frontend Engineer,,Full-time,US; CA; Remote (US; CA),,Accelerate Product Iteration,https://atlasgrid.ai,https://www.ycombinator.com/companies/atlasgrid,"San Francisco, CA, USA; Remote","B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Aurorin CAD,Winter 2026,Active,1,31292,Founding Engineer,,Full-time,"San Francisco, CA, US",,Claude code for Mechanical Engineers,https://aurorincad.com,https://www.ycombinator.com/companies/aurorin-cad,"San Francisco, CA, USA","B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Autumn,Summer 2025,Active,2,30086,Founding Engineer,,Full-time,"London, England, GB",,Billing infrastructure for AI,https://useautumn.com,https://www.ycombinator.com/companies/autumn,"London, United Kingdom",B2B,2026-06-02T13:30:24+00:00
Azalea Robotics Corporation,Summer 2024,Active,2,29657,"Senior Robotics Software Engineer, Localization and Mapping",,Full-time,"Berkeley, CA",,Automating airport baggage handling with robots.,https://azalearobotics.com/,https://www.ycombinator.com/companies/azalea-robotics-corporation,"Berkeley, CA, USA","Industrials, Manufacturing and Robotics",2026-06-02T13:30:24+00:00
BetterBasket,Winter 2024,Active,5,29409,Software Engineer,,Full-time,"San Francisco, CA, US",,Smart grocery pricing with AI,http://www.betterbasket.com,https://www.ycombinator.com/companies/betterbasket,"San Francisco, CA, USA","B2B, Analytics",2026-06-02T13:30:24+00:00
Bland AI,Summer 2023,Active,65,28804,AI / ML Engineer,,Full-time,"San Francisco, CA, US",,The enterprise platform for AI phone calls,https://bland.com,https://www.ycombinator.com/companies/bland-ai,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
Blank Bio,Summer 2025,Active,6,30613,Machine Learning Engineer,,Full-time,"San Francisco, CA, US",,RNA intelligence for precision medicine,http://blank.bio/,https://www.ycombinator.com/companies/blank-bio,"San Francisco, CA, USA","Healthcare, Therapeutics",2026-06-02T13:30:24+00:00
Blank Bio,Summer 2025,Active,6,30613,Software Engineer,,Full-time,"San Francisco, CA, US",,RNA intelligence for precision medicine,http://blank.bio/,https://www.ycombinator.com/companies/blank-bio,"San Francisco, CA, USA","Healthcare, Therapeutics",2026-06-02T13:30:24+00:00
Blaze,Summer 2024,Active,5,29840,Junior Software Engineer,,Full-time,"Mexico City, CDMX, MX; Mexico City, Mexico City, MX",,Global Venmo for cross border payments,https://blaze.money,https://www.ycombinator.com/companies/blaze-2,"Mexico City, CDMX, Mexico; Remote","Fintech, Payments",2026-06-02T13:30:24+00:00
Blaze,Summer 2024,Active,5,29840,🚀 Founding Engineer - Build the Future of Stablecoin-Powered International Payments 🚀,,Full-time,"Mexico City, CDMX, MX; Mexico City, Mexico City, MX; Remote",,Global Venmo for cross border payments,https://blaze.money,https://www.ycombinator.com/companies/blaze-2,"Mexico City, CDMX, Mexico; Remote","Fintech, Payments",2026-06-02T13:30:24+00:00
Bloom,Spring 2026,Active,3,31293,Founding Engineer,,Full-time,"San Francisco, CA, US",,The brand layer for agents,https://trybloom.ai,https://www.ycombinator.com/companies/trybloom,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
Bloom,Spring 2025,Active,2,30412,AI Engineering Student Internship (Winter or Summer 2026),,Internship,"Zürich, ZH, CH",,Build and share mobile apps in seconds,https://bloom.diy/,https://www.ycombinator.com/companies/bloom-4,,"B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Bloom,Spring 2025,Active,2,30412,Founding Engineer,,Full-time,"Zürich, ZH, CH; Remote",,Build and share mobile apps in seconds,https://bloom.diy/,https://www.ycombinator.com/companies/bloom-4,,"B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Browser Use,Winter 2025,Active,7,30341,Software Engineer,,Full-time,"San Francisco, CA, US",,Leading open-source web agent project with 50k stars in 3 months,https://browser-use.com,https://www.ycombinator.com/companies/browser-use,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
Campfire,Summer 2023,Active,105,28845,Full-Stack Engineer,,Full-time,"San Francisco, CA, US",,The AI Native ERP for the fastest growing companies.,https://campfire.ai,https://www.ycombinator.com/companies/campfire-2,"San Francisco, CA, USA","B2B, Finance and Accounting",2026-06-02T13:30:24+00:00
Capitol AI,Summer 2024,Active,11,29963,Software Engineer - Infrastructure,,Full-time,"Washington, DC, US; Remote (US)",,Capitol: the sovereign operating system for intelligence.,https://www.capitol.ai/,https://www.ycombinator.com/companies/capitol-ai,"Washington, DC, USA","B2B, Productivity",2026-06-02T13:30:24+00:00
Cardboard,Winter 2026,Active,2,31178,Founding AI Engineer,,Full-time,"San Francisco, CA, US",,Agentic video editor,https://usecardboard.com,https://www.ycombinator.com/companies/cardboard,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
Cardinal,Winter 2026,Active,0,31311,Founding Engineer,,Full-time,"San Francisco, CA, US",,AI Platform for Precision Outbound,https://trycardinal.ai/,https://www.ycombinator.com/companies/trycardinal-ai,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
Cargo,Summer 2023,Active,6,29101,Founding Full stack AE / Founding AE,,Full-time,"San Francisco, CA, US; Remote",,Build your GTM workforce,https://getcargo.io,https://www.ycombinator.com/companies/cargo,"San Francisco, CA, USA; Remote","B2B, Sales",2026-06-02T13:30:24+00:00
Chasi,Winter 2026,Active,2,31233,Founding Engineer,,Full-time,"San Francisco, United States",,AI Revenue Engine for the Equipment Industry ,https://chasi.ai/,https://www.ycombinator.com/companies/chasi,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
Circleback,Winter 2024,Active,8,29408,Software Engineer,,Full-time,"San Francisco, CA, US",,AI-powered meeting notes and automations,https://circleback.ai,https://www.ycombinator.com/companies/circleback,"San Francisco, CA, USA","B2B, Productivity",2026-06-02T13:30:24+00:00
ClaimSorted,Summer 2024,Active,20,29613,AI Engineer,,Full-time,"London, England, GB",,Making it easy for insurance companies to process claims,https://claimsorted.com,https://www.ycombinator.com/companies/claimsorted,,"Fintech, Insurance",2026-06-02T13:30:24+00:00
ClaimSorted,Summer 2024,Active,20,29613,Product Engineer // Front End,,Full-time,"London, England, GB",,Making it easy for insurance companies to process claims,https://claimsorted.com,https://www.ycombinator.com/companies/claimsorted,,"Fintech, Insurance",2026-06-02T13:30:24+00:00
ClaimSorted,Summer 2024,Active,20,29613,Product Engineer // Full-Stack,,Full-time,"London, England, GB",,Making it easy for insurance companies to process claims,https://claimsorted.com,https://www.ycombinator.com/companies/claimsorted,,"Fintech, Insurance",2026-06-02T13:30:24+00:00
Clara,Spring 2026,Active,9,31063,Founding Data Engineer (Healthcare),,Full-time,"San Francisco, CA, US",,AI primary care doctor,http://askclara.com,https://www.ycombinator.com/companies/clara-2,"San Francisco, CA, USA","Healthcare, Consumer Health and Wellness",2026-06-02T13:30:24+00:00
Clearest Health,Summer 2023,Active,3,28780,Senior Software Engineer,,Full-time,"New York, NY, US",,Rebuilding trust in American health insurance.,https://clearesthealth.com/,https://www.ycombinator.com/companies/clearest-health,"New York, NY, USA","Fintech, Insurance",2026-06-02T13:30:24+00:00
Closure,Winter 2025,Active,4,30209,Founding AI Engineer,,Full-time,"New York, NY, US; Remote (San Francisco, CA, US; New York, NY, US; IL)",,We help law enforcement solve crime,https://closure-intel.com/,https://www.ycombinator.com/companies/closure,"New York, NY, USA",Government,2026-06-02T13:30:24+00:00
Combinely,Spring 2025,Active,5,30461,Founding AI Engineer (UK),,Full-time,"London, England, GB",,AI coworker for Accountants,https://combinely.ai,https://www.ycombinator.com/companies/combinely,,"B2B, Finance and Accounting",2026-06-02T13:30:24+00:00
Comena,Summer 2025,Active,2,30698,Fullstack Engineer,,Full-time,"Munich, BY, DE; Munich, Bavaria, DE",,AI agents for distributors and manufacturers to automate order entry.,https://comena.ai,https://www.ycombinator.com/companies/comena,,"B2B, Supply Chain and Logistics",2026-06-02T13:30:24+00:00
Comena,Summer 2025,Active,2,30698,Software Engineering Intern,,Internship,"Munich, BY, DE; Munich, Bavaria, DE",,AI agents for distributors and manufacturers to automate order entry.,https://comena.ai,https://www.ycombinator.com/companies/comena,,"B2B, Supply Chain and Logistics",2026-06-02T13:30:24+00:00
Conductor,Summer 2024,Active,6,29989,Backend Engineer,,Full-time,"San Francisco, CA, US",,Run a team of coding agents on your Mac,https://conductor.build,https://www.ycombinator.com/companies/conductor,"San Francisco, CA, USA","B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Confident AI,Winter 2025,Active,7,30283,Founding Infrastructure Engineer,,Full-time,"San Francisco, CA, US; Remote",,The LLM Eval and Observability Platform for AI Quality,https://confident-ai.com,https://www.ycombinator.com/companies/confident-ai,"San Francisco, CA, USA","B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Convexia,Summer 2025,Active,4,30747,Founding Engineer ,,Full-time,"San Francisco, CA, US; Remote",,The world's first AI-maximalist pharma company,https://convexia.bio,https://www.ycombinator.com/companies/convexia,"San Francisco, CA, USA","Healthcare, Drug Discovery and Delivery",2026-06-02T13:30:24+00:00
Corgea,Summer 2023,Active,6,28862,Founding DevOps Engineer - California,,Full-time,"San Francisco, CA, US; Remote (US; CA, US)",,"Corgea finds, and fixes insecure code and packages autonomously. ",https://www.corgea.com/,https://www.ycombinator.com/companies/corgea,"San Francisco, CA, USA","B2B, Security",2026-06-02T13:30:24+00:00
Corgi Insurance,Summer 2024,Active,100,29646,Full Stack Software Engineer,,Full-time,"London, England, GB",,Corgi is building an AI financial infrastructure company,https://corgi.com,https://www.ycombinator.com/companies/corgi-insurance,"San Francisco, CA, USA","Fintech, Insurance",2026-06-02T13:30:24+00:00
Crustdata,Fall 2024,Active,20,30076,AI Engineering Intern,,Internship,"New York, NY, US; Remote",,Real-time B2B data via simple APIs,https://crustdata.com,https://www.ycombinator.com/companies/crustdata,,"B2B, Sales",2026-06-02T13:30:24+00:00
Crustdata,Fall 2024,Active,20,30076,Founding ML Engineer,,Full-time,"San Francisco, CA, US",,Real-time B2B data via simple APIs,https://crustdata.com,https://www.ycombinator.com/companies/crustdata,,"B2B, Sales",2026-06-02T13:30:24+00:00
Crustdata,Fall 2024,Active,20,30076,Founding ML Engineer (India),,Full-time,"Bengaluru, KA, IN; Bengaluru, Karnataka, IN",,Real-time B2B data via simple APIs,https://crustdata.com,https://www.ycombinator.com/companies/crustdata,,"B2B, Sales",2026-06-02T13:30:24+00:00
Crustdata,Fall 2024,Active,20,30076,ML Engineer Intern (Summer 2026),,Internship,"San Francisco, CA, US",,Real-time B2B data via simple APIs,https://crustdata.com,https://www.ycombinator.com/companies/crustdata,,"B2B, Sales",2026-06-02T13:30:24+00:00
CTGT,Fall 2024,Active,6,30054,Machine Learning Engineer: LLM Interpretability & Systems,,Full-time,"San Francisco, CA, US",,The deterministic layer for frontier intelligence,https://www.ctgt.ai/,https://www.ycombinator.com/companies/ctgt,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
CTGT,Fall 2024,Active,6,30054,Senior Software Engineer,,Full-time,"San Francisco, CA, US",,The deterministic layer for frontier intelligence,https://www.ctgt.ai/,https://www.ycombinator.com/companies/ctgt,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
CTGT,Fall 2024,Active,6,30054,"Senior Software Engineer, Platform",,Full-time,"San Francisco, CA, US",,The deterministic layer for frontier intelligence,https://www.ctgt.ai/,https://www.ycombinator.com/companies/ctgt,"San Francisco, CA, USA","B2B, Infrastructure",2026-06-02T13:30:24+00:00
Dataleap,Summer 2024,Active,6,29807,Founding Engineer,,Full-time,"San Francisco, CA, US",,AI Employees for the Enterprise,https://dataleap.ai/,https://www.ycombinator.com/companies/dataleap,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
David AI,Summer 2024,Active,10,29759,Applied Audio ML Engineer,,Full-time,"San Francisco, CA, US",,Data for audio AI,https://www.withdavid.ai/,https://www.ycombinator.com/companies/david-ai,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
David AI,Summer 2024,Active,10,29759,Senior Backend Engineer,,Full-time,"San Francisco, CA, US",,Data for audio AI,https://www.withdavid.ai/,https://www.ycombinator.com/companies/david-ai,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
David AI,Summer 2024,Active,10,29759,"Software Engineer, Machine Learning Infrastructure",,Full-time,"San Francisco, CA, US",,Data for audio AI,https://www.withdavid.ai/,https://www.ycombinator.com/companies/david-ai,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
DeepAware AI,Summer 2025,Active,2,30662,AI/ML Engineer,,Full-time,"San Francisco, CA, US; Remote",,"Robots, parts & RL environments - delivered in 72 hrs or pickup in SF.",https://roboticscenter.ai/,https://www.ycombinator.com/companies/deepaware-ai,"San Francisco, CA, USA","Industrials, Manufacturing and Robotics",2026-06-02T13:30:24+00:00
Deepnight,Winter 2024,Active,13,29447,Embedded Software Engineer,,Full-time,"San Francisco, CA, US",,Building The Next Generation of Night Vision Devices,https://www.deepnight.ai/,https://www.ycombinator.com/companies/deepnight,"San Francisco, CA, USA","Industrials, Defense",2026-06-02T13:30:24+00:00
Deeptrace,Fall 2025,Active,4,30858,Founding Engineer,,Full-time,"San Francisco, CA, US; Palo Alto, CA, US",,AI agents for on-call,https://deeptrace.com/,https://www.ycombinator.com/companies/deeptrace,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
Dex,Winter 2025,Active,2,30351,2026 Summer AI/ML Engineer Intern,,Internship,"San Francisco, CA, US",,The AI Coworker in Chrome,https://joindex.com,https://www.ycombinator.com/companies/joindex,"San Francisco, CA, USA","B2B, Productivity",2026-06-02T13:30:24+00:00
DiligenceSquared,Fall 2025,Active,3,30993,Engineer - Backend,,Full-time,"New York, NY, US",,AI-powered market due diligence for investment decisions,https://diligencesquared.com/,https://www.ycombinator.com/companies/diligencesquared-inc,"New York City, NY, USA","B2B, Analytics",2026-06-02T13:30:24+00:00
DiligenceSquared,Fall 2025,Active,3,30993,Engineer - Frontend,,Full-time,"New York, NY, US",,AI-powered market due diligence for investment decisions,https://diligencesquared.com/,https://www.ycombinator.com/companies/diligencesquared-inc,"New York City, NY, USA","B2B, Analytics",2026-06-02T13:30:24+00:00
DiligenceSquared,Fall 2025,Active,3,30993,Engineer - Fullstack,,Full-time,"New York, NY, US",,AI-powered market due diligence for investment decisions,https://diligencesquared.com/,https://www.ycombinator.com/companies/diligencesquared-inc,"New York City, NY, USA","B2B, Analytics",2026-06-02T13:30:24+00:00
Dimely,Summer 2024,Active,3,29741,Founding Engineer - Full Stack (Remote / Hybrid / San Francisco),,Full-time,"San Francisco, CA, US; Remote",,AI-Powered Spreadsheet for Billing Automation,https://dimely.com/,https://www.ycombinator.com/companies/dimely,"San Francisco, CA, USA","B2B, Finance and Accounting",2026-06-02T13:30:24+00:00
Domu Technology Inc.,Summer 2024,Active,15,29572,Software Engineer,,Full-time,"San Francisco, CA, US",,AI Agents for collections,https://www.domu.ai/,https://www.ycombinator.com/companies/domu-technology-inc,"San Francisco, CA, USA","B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Drillbit,Summer 2024,Active,10,29746,"Software Engineer, Product",,Full-time,"Austin, TX, US",,Automating Office Work for Residential Contractors.,https://www.drillbit.com,https://www.ycombinator.com/companies/drillbit,"Austin, TX, USA","B2B, Operations",2026-06-02T13:30:24+00:00
Drillbit,Summer 2024,Active,10,29746,"Staff Software Engineer, AI ",,Full-time,"Austin, TX, US",,Automating Office Work for Residential Contractors.,https://www.drillbit.com,https://www.ycombinator.com/companies/drillbit,"Austin, TX, USA","B2B, Operations",2026-06-02T13:30:24+00:00
Edexia,Winter 2025,Active,4,30165,Founding AI Engineer,,Full-time,"Brisbane, QLD, AU; Brisbane, Queensland, AU",,AI Teacher Assistant for Grading Essays,https://www.edexia.com/,https://www.ycombinator.com/companies/edexia,"San Francisco, CA, USA",Education,2026-06-02T13:30:24+00:00
EffiGov,Summer 2025,Active,3,30636,Founding Engineer,,Full-time,"San Francisco, CA, US",,The AI OS for Cities,https://effigov.com,https://www.ycombinator.com/companies/effigov,"San Francisco, CA, USA",Government,2026-06-02T13:30:24+00:00
ego,Winter 2024,Active,9,29205,"Applied AI Postdoctoral Researcher, 3D Embodied Agents and Gaming",,Full-time,"San Francisco, CA, US",,AI applied research lab building synthetic sapience; human-like AI,https://egoai.com,https://www.ycombinator.com/companies/ego,"San Francisco, CA, USA",Consumer,2026-06-02T13:30:24+00:00
Elyos AI,Summer 2023,Active,20,28784,Founding Software Engineer,,Full-time,"London, England, GB",,AI Customer Service Agents for trades and field services,https://www.elyos.ai/,https://www.ycombinator.com/companies/elyos-ai,"London, England, United Kingdom","B2B, Operations",2026-06-02T13:30:24+00:00
Emergent,Summer 2024,Active,,29765,Backend Engineer,,Full-time,Bangalore,,AI app builder that turns your ideas into monetizable software.,https://emergent.sh,https://www.ycombinator.com/companies/emergent,"San Francisco, CA, USA",Consumer,2026-06-02T13:30:24+00:00
Emergent,Summer 2024,Active,,29765,Data Engineer,,Full-time,Bangalore,,AI app builder that turns your ideas into monetizable software.,https://emergent.sh,https://www.ycombinator.com/companies/emergent,"San Francisco, CA, USA",Consumer,2026-06-02T13:30:24+00:00
Emergent,Summer 2024,Active,,29765,Software Engineer - Infrastructure,,Full-time,Bangalore,,AI app builder that turns your ideas into monetizable software.,https://emergent.sh,https://www.ycombinator.com/companies/emergent,"San Francisco, CA, USA",Consumer,2026-06-02T13:30:24+00:00
Fifth Door,Fall 2025,Active,3,30569,Front End Engineer,,Full-time,"San Francisco, CA, US; Remote (US)",,Create and play games with AI,https://fifthdoor.com,https://www.ycombinator.com/companies/fifth-door,"San Francisco, CA, USA","Consumer, Gaming",2026-06-02T13:30:24+00:00
Firebender,Winter 2024,Active,1,29352,Founding Engineer (Generalist),,Full-time,"San Francisco, CA, US",,Most powerful coding agent for Android engineers,https://firebender.com,https://www.ycombinator.com/companies/firebender,"San Francisco, CA, USA","B2B, Engineering, Product and Design",2026-06-02T13:30:24+00:00
Fleetline,Summer 2025,Active,7,30775,Founding Engineer,,Full-time,"New York, NY, US",,Optimizing fleet planning with data driven algorithms,https://fleetline.ai,https://www.ycombinator.com/companies/fleetline,"New York, NY, USA","B2B, Supply Chain and Logistics",2026-06-02T13:30:24+00:00
FleetWorks,Summer 2023,Active,20,28880,Senior Software Engineer,,Full-time,"San Francisco, CA, US; Chicago, IL, US",,AI enabled marketplace matching trucks with jobs,https://fleetworks.ai,https://www.ycombinator.com/companies/fleetworks,"San Francisco, CA, USA","B2B, Supply Chain and Logistics",2026-06-02T13:30:24+00:00
Flick,Fall 2025,Active,2,30884,Senior Frontend Engineer,,Full-time,"Sunnyvale, CA, US; Remote",,"Figma + Cursor, for AI Filmmaking",https://flick.art,https://www.ycombinator.com/companies/flick,"San Francisco, CA, USA","Consumer, Content",2026-06-02T13:30:24+00:00
Flick,Fall 2025,Active,2,30884,Senior Full-stack Engineer,,Full-time,"Sunnyvale, CA, US; Remote",,"Figma + Cursor, for AI Filmmaking",https://flick.art,https://www.ycombinator.com/companies/flick,"San Francisco, CA, USA","Consumer, Content",2026-06-02T13:30:24+00:00
Fortuna Health,Summer 2023,Active,13,28935,Senior Software Engineer,,Full-time,"New York, NY, US",,TurboTax for Medicaid,https://fortunahealth.com/,https://www.ycombinator.com/companies/fortuna-health,"New York City, NY, USA","Healthcare, Healthcare IT",2026-06-02T13:30:24+00:00
Freya,Summer 2025,Active,14,30802,DevOps Enginer,,Full-time,"Istanbul, İstanbul, TR; Remote (TR)",,Voice AI for Enterprises,https://freyavoice.ai/,https://www.ycombinator.com/companies/freya,"San Francisco, CA, USA",Fintech,2026-06-02T13:30:24+00:00
FurtherAI,Winter 2024,Active,36,29290,Frontend Engineer - Web,,Full-time,"San Francisco, CA, US",,AI Workforce for the Insurance Industry,https://www.furtherai.com/,https://www.ycombinator.com/companies/furtherai,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
FurtherAI,Winter 2024,Active,36,29290,Senior Software Engineer - Backend/Fullstack,,Full-time,"San Francisco, CA, US",,AI Workforce for the Insurance Industry,https://www.furtherai.com/,https://www.ycombinator.com/companies/furtherai,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
FurtherAI,Winter 2024,Active,36,29290,Software Engineer - Backend/Fullstack [India],,Full-time,Remote,,AI Workforce for the Insurance Industry,https://www.furtherai.com/,https://www.ycombinator.com/companies/furtherai,"San Francisco, CA, USA",B2B,2026-06-02T13:30:24+00:00
FuseAI,Winter 2025,Active,12,30301,Senior Frontend Engineer,,Full-time,Remote,,The #1 AI Platform for Outbound Sales,https://tryfuse.ai/,https://www.ycombinator.com/companies/fuseai,"San Francisco, CA, USA","B2B, Sales",2026-06-02T13:30:24+00:00
FuseAI,Winter 2025,Active,12,30301,Senior Software Engineer,,Full-time,"San Francisco, CA, US; Remote (IN; BR; AR)",,The #1 AI Platform for Outbound Sales,https://tryfuse.ai/,https://www.ycombinator.com/companies/fuseai,"San Francisco, CA, USA","B2B, Sales",2026-06-02T13:30:24+00:00
